iter	Passed	Remaining
0	124	124783
1	125	62661
2	126	41916
3	126	31535
4	127	25315
5	127	21159
6	128	18198
7	128	15972
8	129	14242
9	129	12863
10	130	11732
11	131	10786
12	131	9986
13	132	9298
14	132	8705
15	133	8187
16	133	7728
17	134	7319
18	134	6953
19	135	6624
20	135	6326
21	136	6056
22	137	5857
23	138	5638
24	139	5433
25	139	5243
26	140	5066
27	141	4900
28	141	4747
29	142	4604
30	143	4471
31	143	4345
32	144	4230
33	145	4122
34	145	4018
35	146	3920
36	146	3824
37	147	3735
38	148	3649
39	148	3566
40	149	3488
41	149	3413
42	150	3343
43	150	3276
44	151	3213
45	152	3153
46	152	3094
47	153	3037
48	153	2982
49	154	2930
50	154	2879
51	155	2830
52	155	2783
53	156	2737
54	156	2694
55	157	2651
56	157	2610
57	158	2571
58	159	2536
59	159	2501
60	160	2465
61	160	2431
62	161	2397
63	161	2365
64	162	2333
65	162	2303
66	163	2273
67	164	2248
68	164	2222
69	165	2195
70	165	2169
71	166	2144
72	167	2121
73	167	2097
74	168	2073
75	168	2050
76	169	2027
77	169	2005
78	170	1984
79	170	1963
80	171	1942
81	171	1922
82	172	1900
83	172	1881
84	173	1862
85	173	1845
86	174	1828
87	174	1811
88	175	1794
89	175	1777
90	176	1761
91	176	1745
92	177	1729
93	177	1714
94	178	1700
95	179	1686
96	179	1673
97	180	1659
98	180	1645
99	181	1633
100	182	1620
101	182	1609
102	183	1596
103	183	1584
104	184	1572
105	185	1561
106	185	1550
107	186	1538
108	186	1527
109	187	1516
110	187	1505
111	188	1494
112	189	1484
113	189	1475
114	190	1465
115	191	1455
116	191	1445
117	192	1436
118	192	1426
119	193	1416
120	193	1407
121	194	1397
122	194	1388
123	195	1379
124	195	1370
125	196	1361
126	196	1353
127	197	1346
128	198	1339
129	199	1332
130	199	1325
131	200	1318
132	201	1310
133	201	1303
134	202	1297
135	203	1290
136	203	1284
137	204	1279
138	205	1273
139	206	1267
140	206	1260
141	207	1252
142	207	1246
143	208	1239
144	209	1232
145	209	1225
146	210	1218
147	210	1212
148	211	1205
149	211	1199
150	212	1194
151	212	1188
152	213	1182
153	214	1176
154	214	1170
155	215	1164
156	215	1158
157	216	1153
158	216	1147
159	217	1141
160	217	1134
161	218	1129
162	218	1123
163	219	1118
164	220	1114
165	220	1108
166	221	1103
167	221	1098
168	222	1093
169	222	1087
170	223	1082
171	223	1077
172	224	1072
173	224	1067
174	225	1062
175	225	1057
176	226	1053
177	227	1048
178	228	1045
179	228	1042
180	229	1037
181	230	1033
182	230	1030
183	231	1027
184	232	1023
185	233	1020
186	233	1016
187	234	1013
188	235	1012
189	236	1009
190	237	1005
191	238	1002
192	238	999
193	239	995
194	240	992
195	241	988
196	241	986
197	243	984
198	243	981
199	244	978
200	245	975
201	246	972
202	246	968
203	247	965
204	248	962
205	248	958
206	249	956
207	250	955
208	251	952
209	252	949
210	253	946
211	253	943
212	254	940
213	255	939
214	256	935
215	256	932
216	257	929
217	258	926
218	259	924
219	259	921
220	260	918
221	261	916
222	262	914
223	263	912
224	266	917
225	268	918
226	270	919
227	270	916
228	271	913
229	272	912
230	273	909
231	274	907
232	274	904
233	275	901
234	275	897
235	276	894
236	276	891
237	277	887
238	277	884
239	278	881
240	278	878
241	279	875
242	280	872
243	280	869
244	281	866
245	281	863
246	282	860
247	282	857
248	283	854
249	283	851
250	284	848
251	284	845
252	285	842
253	285	839
254	286	836
255	286	833
256	287	831
257	288	828
258	288	826
259	289	823
260	289	820
261	290	817
262	290	814
263	291	812
264	291	809
265	292	806
266	292	803
267	293	801
268	293	798
269	294	795
270	295	793
271	295	791
272	296	788
273	296	786
274	297	783
275	297	780
276	298	778
277	298	775
278	299	773
279	299	770
280	300	768
281	300	765
282	301	763
283	301	761
284	302	759
285	303	756
286	303	754
287	304	752
288	304	750
289	305	747
290	306	745
291	306	743
292	307	741
293	307	738
294	308	736
295	308	734
296	309	731
297	309	729
298	310	727
299	310	725
300	311	723
301	312	721
302	312	718
303	313	716
304	313	714
305	314	712
306	314	710
307	315	708
308	315	705
309	316	703
310	316	701
311	317	699
312	317	697
313	318	695
314	318	693
315	319	691
316	319	689
317	320	687
318	321	685
319	321	683
320	322	681
321	322	679
322	323	677
323	323	675
324	324	673
325	324	671
326	325	669
327	325	667
328	326	665
329	326	663
330	327	661
331	327	659
332	328	657
333	328	655
334	329	654
335	329	652
336	330	650
337	330	648
338	331	646
339	332	644
340	332	642
341	333	640
342	333	639
343	334	637
344	334	635
345	335	634
346	336	632
347	336	630
348	337	629
349	338	627
350	338	626
351	339	624
352	339	622
353	340	621
354	341	619
355	341	618
356	342	616
357	342	614
358	343	613
359	343	611
360	344	609
361	344	607
362	345	606
363	345	604
364	346	602
365	346	601
366	347	599
367	348	598
368	349	596
369	349	595
370	350	593
371	350	592
372	351	590
373	351	589
374	352	587
375	353	585
376	353	584
377	354	582
378	354	581
379	355	579
380	356	578
381	356	576
382	357	575
383	357	573
384	358	572
385	358	570
386	359	568
387	359	567
388	360	565
389	360	564
390	361	562
391	361	561
392	362	559
393	362	558
394	363	556
395	364	555
396	364	553
397	365	552
398	365	550
399	366	549
400	366	547
401	367	546
402	367	544
403	368	543
404	368	541
405	369	540
406	369	538
407	370	537
408	370	535
409	371	534
410	371	532
411	372	531
412	372	530
413	373	528
414	373	527
415	374	525
416	374	524
417	375	522
418	375	521
419	376	519
420	376	518
421	377	517
422	378	516
423	378	514
424	379	513
425	380	512
426	380	510
427	381	509
428	381	508
429	382	507
430	382	505
431	383	504
432	384	502
433	384	501
434	385	500
435	385	499
436	386	497
437	386	496
438	387	494
439	387	493
440	388	492
441	388	490
442	389	489
443	389	488
444	390	486
445	390	485
446	391	484
447	391	482
448	392	481
449	393	480
450	393	479
451	394	478
452	394	476
453	395	475
454	395	474
455	396	472
456	396	471
457	397	470
458	397	469
459	398	467
460	398	466
461	399	465
462	399	463
463	400	462
464	401	461
465	401	460
466	402	459
467	402	458
468	403	456
469	404	455
470	404	454
471	405	453
472	406	453
473	407	452
474	408	451
475	409	450
476	410	449
477	411	448
478	412	448
479	412	447
480	413	446
481	414	445
482	416	446
483	417	445
484	418	444
485	418	442
486	419	441
487	419	440
488	420	439
489	420	438
490	421	436
491	421	435
492	422	434
493	423	433
494	423	432
495	424	431
496	424	429
497	425	428
498	425	427
499	426	426
500	426	425
501	427	423
502	427	422
503	428	421
504	428	420
505	429	419
506	429	417
507	430	416
508	431	415
509	431	414
510	432	413
511	432	412
512	433	411
513	433	410
514	434	408
515	434	407
516	435	406
517	435	405
518	436	404
519	436	403
520	437	402
521	437	400
522	438	400
523	439	398
524	439	397
525	440	396
526	440	395
527	441	394
528	441	393
529	442	392
530	442	391
531	443	390
532	443	388
533	444	387
534	444	386
535	445	385
536	446	384
537	446	383
538	447	382
539	447	381
540	448	380
541	448	379
542	449	378
543	450	377
544	450	376
545	451	375
546	451	374
547	452	372
548	452	371
549	453	371
550	454	370
551	454	369
552	455	367
553	455	366
554	456	365
555	456	364
556	457	363
557	457	362
558	458	361
559	458	360
560	459	359
561	459	358
562	460	357
563	460	356
564	461	355
565	462	354
566	462	353
567	463	352
568	464	351
569	464	350
570	465	349
571	466	348
572	466	347
573	467	346
574	468	345
575	468	345
576	469	344
577	470	343
578	470	342
579	471	341
580	471	340
581	472	339
582	473	338
583	473	337
584	474	336
585	474	335
586	475	334
587	476	333
588	476	332
589	477	331
590	478	330
591	478	329
592	479	329
593	479	328
594	480	327
595	481	326
596	481	325
597	482	324
598	482	323
599	483	322
600	484	321
601	485	320
602	485	319
603	486	318
604	486	317
605	487	316
606	487	315
607	488	315
608	489	314
609	489	313
610	490	312
611	490	311
612	491	310
613	492	309
614	492	308
615	493	307
616	494	306
617	494	305
618	495	304
619	495	303
620	496	303
621	497	302
622	497	301
623	498	300
624	498	299
625	499	298
626	500	297
627	500	296
628	501	295
629	502	294
630	502	294
631	503	293
632	503	292
633	504	291
634	505	290
635	505	289
636	506	288
637	506	287
638	507	286
639	508	285
640	508	284
641	509	284
642	510	283
643	510	282
644	511	281
645	511	280
646	512	279
647	513	278
648	513	277
649	514	276
650	515	276
651	515	275
652	516	274
653	516	273
654	517	272
655	518	271
656	518	270
657	519	269
658	519	268
659	520	267
660	520	267
661	521	266
662	521	265
663	522	264
664	523	263
665	523	262
666	524	261
667	524	260
668	525	260
669	526	259
670	526	258
671	527	257
672	527	256
673	528	255
674	529	254
675	529	253
676	530	253
677	531	252
678	531	251
679	532	250
680	532	249
681	533	248
682	533	247
683	534	246
684	535	246
685	535	245
686	536	244
687	536	243
688	537	242
689	537	241
690	538	240
691	539	239
692	539	239
693	540	238
694	541	237
695	541	236
696	542	235
697	542	234
698	543	233
699	543	233
700	544	232
701	545	231
702	545	230
703	546	229
704	546	228
705	547	228
706	548	227
707	548	226
708	549	225
709	549	224
710	550	223
711	550	222
712	551	221
713	552	221
714	552	220
715	553	219
716	553	218
717	554	217
718	555	216
719	555	216
720	556	215
721	556	214
722	557	213
723	557	212
724	558	211
725	558	210
726	559	210
727	560	209
728	561	208
729	561	207
730	562	206
731	563	206
732	563	205
733	564	204
734	564	203
735	565	202
736	565	201
737	566	200
738	566	200
739	567	199
740	568	198
741	568	197
742	569	196
743	569	196
744	570	195
745	571	194
746	571	193
747	572	192
748	572	191
749	573	191
750	573	190
751	574	189
752	575	188
753	575	187
754	576	187
755	577	186
756	577	185
757	578	184
758	578	183
759	579	182
760	579	182
761	580	181
762	580	180
763	581	179
764	582	178
765	582	178
766	583	177
767	584	176
768	584	175
769	585	174
770	585	174
771	586	173
772	587	172
773	587	171
774	588	170
775	588	169
776	589	169
777	589	168
778	590	167
779	591	166
780	591	165
781	592	165
782	593	164
783	593	163
784	594	162
785	594	161
786	595	161
787	595	160
788	596	159
789	596	158
790	597	157
791	598	157
792	599	156
793	599	155
794	600	154
795	600	153
796	601	153
797	601	152
798	602	151
799	602	150
800	603	149
801	603	149
802	604	148
803	605	147
804	605	146
805	606	145
806	606	145
807	607	144
808	607	143
809	608	142
810	608	141
811	609	141
812	610	140
813	610	139
814	611	138
815	611	137
816	612	137
817	612	136
818	613	135
819	614	134
820	614	134
821	615	133
822	615	132
823	616	131
824	616	130
825	617	130
826	618	129
827	618	128
828	619	127
829	619	126
830	620	126
831	620	125
832	621	124
833	621	123
834	622	123
835	623	122
836	623	121
837	624	120
838	624	119
839	625	119
840	625	118
841	626	117
842	626	116
843	627	115
844	628	115
845	628	114
846	629	113
847	629	112
848	630	112
849	630	111
850	631	110
851	631	109
852	632	108
853	632	108
854	633	107
855	633	106
856	634	105
857	635	105
858	635	104
859	636	103
860	636	102
861	637	102
862	637	101
863	638	100
864	638	99
865	639	98
866	639	98
867	640	97
868	640	96
869	641	95
870	641	95
871	642	94
872	643	93
873	643	92
874	644	92
875	644	91
876	645	90
877	645	89
878	646	88
879	646	88
880	647	87
881	647	86
882	648	85
883	648	85
884	649	84
885	649	83
886	650	82
887	651	82
888	651	81
889	652	80
890	652	79
891	653	79
892	653	78
893	654	77
894	654	76
895	655	76
896	655	75
897	656	74
898	656	73
899	657	73
900	658	72
901	658	71
902	659	70
903	659	70
904	660	69
905	660	68
906	661	67
907	661	67
908	662	66
909	662	65
910	663	64
911	663	64
912	664	63
913	665	62
914	665	61
915	666	61
916	666	60
917	667	59
918	667	58
919	668	58
920	669	57
921	669	56
922	670	55
923	670	55
924	671	54
925	671	53
926	672	52
927	673	52
928	673	51
929	674	50
930	674	50
931	675	49
932	675	48
933	676	47
934	676	47
935	677	46
936	677	45
937	678	44
938	678	44
939	679	43
940	680	42
941	680	41
942	681	41
943	681	40
944	682	39
945	682	38
946	683	38
947	684	37
948	684	36
949	685	36
950	685	35
951	686	34
952	686	33
953	687	33
954	687	32
955	688	31
956	689	30
957	689	30
958	690	29
959	690	28
960	691	28
961	692	27
962	692	26
963	693	25
964	693	25
965	694	24
966	694	23
967	695	22
968	695	22
969	696	21
970	697	20
971	697	20
972	698	19
973	698	18
974	699	17
975	699	17
976	700	16
977	700	15
978	701	15
979	701	14
980	702	13
981	702	12
982	703	12
983	703	11
984	704	10
985	704	10
986	705	9
987	706	8
988	706	7
989	707	7
990	707	6
991	708	5
992	708	4
993	709	4
994	709	3
995	710	2
996	711	2
997	711	1
998	712	0
999	712	0
